#Top: ios   Floorplan: io_1   Part: xc7a35tcsg324-2,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: ParsaMalekpour   on: Tue Jun 30 13:17:30 2026,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2019.1   by: xbuild   on: Fri May 24 14:49:42 MDT 2019,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Average Trace Delay,,,,,,,,,,,,,,,,,,,
15,B17,IOB_X0Y85,IO_L7N_T1_AD2N_15,103.802,104.845,104.3235,,,,,,,,,,,,,,,,,,,
15,A15,IOB_X0Y84,IO_L8P_T1_AD10P_15,112.595,113.727,113.161,,,,,,,,,,,,,,,,,,,
15,A16,IOB_X0Y83,IO_L8N_T1_AD10N_15,121.971,123.197,122.584,,,,,,,,,,,,,,,,,,,
15,A13,IOB_X0Y82,IO_L9P_T1_DQS_AD3P_15,120.319,121.528,120.9235,,,,,,,,,,,,,,,,,,,
15,A14,IOB_X0Y81,IO_L9N_T1_DQS_AD3N_15,117.416,118.596,118.006,,,,,,,,,,,,,,,,,,,
15,B18,IOB_X0Y80,IO_L10P_T1_AD11P_15,104.744,105.796,105.27,,,,,,,,,,,,,,,,,,,
15,A18,IOB_X0Y79,IO_L10N_T1_AD11N_15,108.679,109.771,109.225,,,,,,,,,,,,,,,,,,,
15,E15,IOB_X0Y78,IO_L11P_T1_SRCC_15,102.88,103.914,103.397,,,,,,,,,,,,,,,,,,,
15,E16,IOB_X0Y77,IO_L11N_T1_SRCC_15,104.843,105.897,105.37,,,,,,,,,,,,,,,,,,,
15,D15,IOB_X0Y76,IO_L12P_T1_MRCC_15,102.698,103.73,103.214,,,,,,,,,,,,,,,,,,,
15,C15,IOB_X0Y75,IO_L12N_T1_MRCC_15,102.135,103.161,102.648,,,,,,,,,,,,,,,,,,,
15,H16,IOB_X0Y74,IO_L13P_T2_MRCC_15,74.05,74.794,74.422,,,,,,,,,,,,,,,,,,,
15,G16,IOB_X0Y73,IO_L13N_T2_MRCC_15,75.904,76.667,76.2855,,,,,,,,,,,,,,,,,,,
15,F15,IOB_X0Y72,IO_L14P_T2_SRCC_15,77.469,78.248,77.8585,,,,,,,,,,,,,,,,,,,
15,F16,IOB_X0Y71,IO_L14N_T2_SRCC_15,75.492,76.251,75.8715,,,,,,,,,,,,,,,,,,,
15,H14,IOB_X0Y70,IO_L15P_T2_DQS_15,74.3,75.047,74.6735,,,,,,,,,,,,,,,,,,,
15,G14,IOB_X0Y69,IO_L15N_T2_DQS_ADV_B_15,76.719,77.49,77.1045,,,,,,,,,,,,,,,,,,,
15,E17,IOB_X0Y68,IO_L16P_T2_A28_15,87.77,88.652,88.211,,,,,,,,,,,,,,,,,,,
15,D17,IOB_X0Y67,IO_L16N_T2_A27_15,90.472,91.381,90.9265,,,,,,,,,,,,,,,,,,,
15,K13,IOB_X0Y66,IO_L17P_T2_A26_15,76.115,76.88,76.4975,,,,,,,,,,,,,,,,,,,
15,J13,IOB_X0Y65,IO_L17N_T2_A25_15,73.633,74.373,74.003,,,,,,,,,,,,,,,,,,,
15,H17,IOB_X0Y64,IO_L18P_T2_A24_15,64.723,65.374,65.0485,,,,,,,,,,,,,,,,,,,
15,G17,IOB_X0Y63,IO_L18N_T2_A23_15,69.61,70.309,69.9595,,,,,,,,,,,,,,,,,,,
15,J14,IOB_X0Y62,IO_L19P_T3_A22_15,86.202,87.069,86.6355,,,,,,,,,,,,,,,,,,,
15,H15,IOB_X0Y61,IO_L19N_T3_A21_VREF_15,86.398,87.266,86.832,,,,,,,,,,,,,,,,,,,
15,C16,IOB_X0Y60,IO_L20P_T3_A20_15,113.325,114.464,113.8945,,,,,,,,,,,,,,,,,,,
15,C17,IOB_X0Y59,IO_L20N_T3_A19_15,107.38,108.459,107.9195,,,,,,,,,,,,,,,,,,,
15,E18,IOB_X0Y58,IO_L21P_T3_DQS_15,104.252,105.3,104.776,,,,,,,,,,,,,,,,,,,
15,D18,IOB_X0Y57,IO_L21N_T3_DQS_A18_15,97.847,98.83,98.3385,,,,,,,,,,,,,,,,,,,
15,G18,IOB_X0Y56,IO_L22P_T3_A17_15,92.839,93.772,93.3055,,,,,,,,,,,,,,,,,,,
15,F18,IOB_X0Y55,IO_L22N_T3_A16_15,91.424,92.342,91.883,,,,,,,,,,,,,,,,,,,
15,J17,IOB_X0Y54,IO_L23P_T3_FOE_B_15,86.954,87.827,87.3905,,,,,,,,,,,,,,,,,,,
15,J18,IOB_X0Y53,IO_L23N_T3_FWE_B_15,95.616,96.577,96.0965,,,,,,,,,,,,,,,,,,,
15,K15,IOB_X0Y52,IO_L24P_T3_RS1_15,83.428,84.267,83.8475,,,,,,,,,,,,,,,,,,,
15,J15,IOB_X0Y51,IO_L24N_T3_RS0_15,86.094,86.959,86.5265,,,,,,,,,,,,,,,,,,,
15,K16,IOB_X0Y50,IO_25_15,46.383,46.849,46.616,,,,,,,,,,,,,,,,,,,
15,A17,,VCCO_15,,,0,,,,,,,,,,,,,,,,,,VCCO_15,
15,C13,,VCCO_15,,,0,,,,,,,,,,,,,,,,,,VCCO_15,
15,D16,,VCCO_15,,,0,,,,,,,,,,,,,,,,,,VCCO_15,
15,G15,,VCCO_15,,,0,,,,,,,,,,,,,,,,,,VCCO_15,
15,H18,,VCCO_15,,,0,,,,,,,,,,,,,,,,,,VCCO_15,
15,K14,,VCCO_15,,,0,,,,,,,,,,,,,,,,,,VCCO_15,
16,D9,IOB_X0Y137,IO_L6N_T0_VREF_16,62.312,62.938,62.625,,,,,,,,,,,,,,,,,,,
16,C9,IOB_X0Y128,IO_L11P_T1_SRCC_16,121.912,123.138,122.525,,,,,,,,,,,,,,,,,,,
